Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
318469;Holberg Norge;   1682,49; 1681,83;2026-08-31
712299;Humle Småbolagsfond A;    747,72;  747,72;2026-08-31
307306;Indecap Guide 1 C;    127,84;  127,84;2026-08-28
271478;Indecap Guide 2 C;    296,24;  296,24;2026-08-28
233585;JPMorgan China A;    726,00;  725,89;2026-08-31
305243;JPMorgan Emerging Markets Equity A ;    647,51;  647,41;2026-08-31
124438;JPMorgan Funds - Europe Sustainable Equity Fund;   2737,31; 2736,94;2026-08-31
535569;JPMorgan Funds - Europe Sustainable Small Cap Equity Fund;   1858,41; 1858,16;2026-08-28
676460;Kotak Funds - India Growth Fund;    231,48;  231,44;2026-08-31
895699;Kotak Funds - India Midcap A;    383,63;  383,57;2026-08-31
224493;KPA Blandfond;    533,45;  533,45;2026-08-31
295857;Lannebo Emerging Markets A;    396,50;  396,50;2026-08-31
182759;Lannebo Europa Småbolag A;     19,52;   19,52;2026-08-26
660829;Lannebo FRN A;    131,72;  131,72;2026-08-31
104786;Lannebo Företagsobligationsfond A;    137,07;  137,07;2026-08-31
964767;Lannebo Global A;    566,18;  566,18;2026-08-31
163923;Lannebo Global Growth A;   1820,56; 1820,56;2026-08-31
294918;Lannebo Kort ränta;    104,94;  104,94;2026-08-31
642298;Lannebo Marknad Pacific;    452,84;  452,84;2026-08-31
678128;Lannebo Marknad USA A;    700,94;  700,94;2026-08-31
878520;Lannebo Mixfond;     40,10;   40,10;2026-08-31
861104;Lannebo Mixfond Offensiv A;    356,74;  356,74;2026-08-31
513722;Lannebo Obligationsfond A;    102,63;  102,63;2026-08-31
844100;Lannebo Realräntefond A;    126,16;  126,16;2026-08-31
694539;Lannebo Small Cap Oppurtunities A;   7866,55; 7866,55;2026-08-31
842690;Lannebo Småbolag;    193,06;  193,06;2026-08-31
416867;Lannebo Sweden Micro Cap;   2139,06; 2139,06;2026-08-31
771030;Lannebo Teknik;     24,53;   24,53;2026-08-31
313742;Länsförsäkringar Fastighetsfond A;   5637,11; 5637,11;2026-08-31
874560;Länsförsäkringar Företagsobligation Vision ;    126,58;  126,58;2026-08-31
563965;Länsförsäkringar Global Vision A;    122,53;  122,53;2026-08-31
